"sku","image","images"
"B0CPSDKS3Q","","[""/uploads/dc656db230e22dc6.jpg"",""/uploads/68ca0600141dbf71.jpg"",""/uploads/b778ecf8289c7606.jpg"",""/uploads/b19740636fd43eda.jpg"",""/uploads/7dc466de9b36164f.jpg"",""/uploads/a1a7ef5cba195ee5.jpg"",""/uploads/df976bd4978930c4.jpg""]"
"B0CLK9FVC4","","[""/uploads/371295b5619518d9.jpg"",""/uploads/6da0b913bb819767.jpg"",""/uploads/5a9718eb85f68c87.jpg"",""/uploads/cd2d9a8ea9cdbb08.jpg"",""/uploads/593d216a8cc91e28.jpg"",""/uploads/8b6f6aeb454cd9ad.jpg"",""/uploads/7743c9402714c8dc.jpg""]"
"B0CLK9SGR8","","[""/uploads/afc6d2d5f3c4c376.jpg"",""/uploads/04a17ed56a00b464.jpg"",""/uploads/86b01b7bc025cf37.jpg"",""/uploads/37d77a225888b153.jpg"",""/uploads/08cdf9a4cf388b3d.jpg"",""/uploads/e53ffde61817cb9e.jpg"",""/uploads/74c011664a788f82.jpg""]"
"B0CLK8YYGK","","[""/uploads/13fa300013e91469.jpg"",""/uploads/09c0535d00aba9b2.jpg"",""/uploads/9d8a2b79494d9a7b.jpg"",""/uploads/3632fc25da4ba341.jpg"",""/uploads/e55a02b2a0dcd3ce.jpg"",""/uploads/bb26fa14af30ed2f.jpg"",""/uploads/2fccb5658059a7a1.jpg""]"
"B0CLK9VSNF","","[""/uploads/436c77a68158107c.jpg"",""/uploads/4fb6c06e019856e0.jpg"",""/uploads/6fcf29e9c72a094d.jpg"",""/uploads/c1bb43c340170369.jpg"",""/uploads/eb0328a8c4f24343.jpg"",""/uploads/23118d078dc96f85.jpg""]"
"B0CLK8YTZP","","[""/uploads/ec225bf1d92635cc.jpg"",""/uploads/89237969ec24cabe.jpg"",""/uploads/5f15640095cc5031.jpg"",""/uploads/062f6e42cde40877.jpg"",""/uploads/a6210b95ba4a87fa.jpg"",""/uploads/40ff381546aaa994.jpg"",""/uploads/5db4893c56464b3d.jpg""]"
"B0CPPV5DNP","","[""/uploads/afc6d2d5f3c4c376.jpg"",""/uploads/04a17ed56a00b464.jpg"",""/uploads/86b01b7bc025cf37.jpg"",""/uploads/37d77a225888b153.jpg"",""/uploads/08cdf9a4cf388b3d.jpg"",""/uploads/e53ffde61817cb9e.jpg"",""/uploads/74c011664a788f82.jpg""]"
"B0CLKHY1Y1","","[""/uploads/1a8d25c74075c417.jpg"",""/uploads/92c58487dbf8c936.jpg"",""/uploads/c1baa42244c397aa.jpg"",""/uploads/1460878619805b03.jpg"",""/uploads/da558a69652353e4.jpg"",""/uploads/b1c91e2737bce447.jpg"",""/uploads/1742242b93956f32.jpg""]"
"B0CLKJTNVW","","[""/uploads/4d6b25d4a7655dff.jpg"",""/uploads/92c58487dbf8c936.jpg"",""/uploads/c1baa42244c397aa.jpg"",""/uploads/1460878619805b03.jpg"",""/uploads/da558a69652353e4.jpg"",""/uploads/b1c91e2737bce447.jpg"",""/uploads/1742242b93956f32.jpg""]"
"B0CLKK7DYX","","[""/uploads/55d1d4aefd434c11.jpg"",""/uploads/92c58487dbf8c936.jpg"",""/uploads/da558a69652353e4.jpg"",""/uploads/1460878619805b03.jpg"",""/uploads/b1c91e2737bce447.jpg"",""/uploads/1742242b93956f32.jpg""]"
